2021-02-08 17:19:02,186 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server
2021-02-08 17:19:02,223 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=true,journalDirectory=/home/jowest/msgaas/data/journal,bindingsDirectory=/home/jowest/msgaas/data/bindings,largeMessagesDirectory=/home/jowest/msgaas/data/large-messages,pagingDirectory=/home/jowest/msgaas/data/paging)
2021-02-08 17:19:02,224 INFO  [org.apache.activemq.artemis.core.server] AMQ221006: Waiting to obtain live lock
2021-02-08 17:19:02,246 INFO  [org.apache.activemq.artemis.core.server] AMQ221012: Using AIO Journal
2021-02-08 17:19:02,307 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2021-02-08 17:19:02,308 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2021-02-08 17:19:02,308 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2021-02-08 17:19:02,308 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
2021-02-08 17:19:02,308 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
2021-02-08 17:19:02,308 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2021-02-08 17:19:02,339 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
2021-02-08 17:19:02,339 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
2021-02-08 17:19:02,423 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address DLQ supporting [ANYCAST]
2021-02-08 17:19:02,433 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue DLQ on address DLQ
2021-02-08 17:19:02,465 INFO  [org.apache.activemq.artemis.core.server] AMQ221080: Deploying address ExpiryQueue supporting [ANYCAST]
2021-02-08 17:19:02,467 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying ANYCAST queue ExpiryQueue on address ExpiryQueue
2021-02-08 17:19:02,681 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at vivo2.milab.joshwest.me:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
2021-02-08 17:19:02,692 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at vivo2.milab.joshwest.me:5672 for protocols [AMQP]
2021-02-08 17:19:02,695 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
2021-02-08 17:19:02,695 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.16.0.redhat-00012 [sharedstore_master_1, nodeID=a5d99416-6a5b-11eb-a848-b06ebf0b932a] 
2021-02-08 17:19:02,836 INFO  [org.apache.amq.hawtio.branding.PluginContextListener] Initialized amq-broker-redhat-branding plugin
2021-02-08 17:19:02,860 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
2021-02-08 17:19:03,122 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://vivo2.milab.joshwest.me:8161
2021-02-08 17:20:18,702 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 41,383 bytes; max-size-bytes on address: -1, global-max-size is 41,383
2021-02-08 17:20:18,922 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,558 bytes; max-size-bytes: -1
2021-02-08 17:20:18,927 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 25,504 bytes; max-size-bytes on address: -1, global-max-size is 25,504
2021-02-08 17:20:19,168 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,558 bytes; max-size-bytes: -1
2021-02-08 17:20:19,175 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 165,776 bytes; max-size-bytes on address: -1, global-max-size is 165,776
2021-02-08 17:20:19,277 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,281 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 124,332 bytes; max-size-bytes on address: -1, global-max-size is 124,332
2021-02-08 17:20:19,281 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 122,738 bytes; max-size-bytes on address: -1, global-max-size is 122,738
2021-02-08 17:20:19,381 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,386 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 132,302 bytes; max-size-bytes on address: -1, global-max-size is 132,302
2021-02-08 17:20:19,386 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 132,302 bytes; max-size-bytes on address: -1, global-max-size is 132,302
2021-02-08 17:20:19,486 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,490 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 100,422 bytes; max-size-bytes on address: -1, global-max-size is 100,422
2021-02-08 17:20:19,490 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 105,204 bytes; max-size-bytes on address: -1, global-max-size is 105,204
2021-02-08 17:20:19,582 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,587 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 122,738 bytes; max-size-bytes on address: -1, global-max-size is 122,738
2021-02-08 17:20:19,662 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,665 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 30,286 bytes; max-size-bytes on address: -1, global-max-size is 30,286
2021-02-08 17:20:19,741 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,747 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 377,778 bytes; max-size-bytes on address: -1, global-max-size is 377,778
2021-02-08 17:20:19,830 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,836 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 353,868 bytes; max-size-bytes on address: -1, global-max-size is 355,462
2021-02-08 17:20:19,922 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,564 bytes; max-size-bytes: -1
2021-02-08 17:20:19,926 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 183,369 bytes; max-size-bytes on address: -1, global-max-size is 183,369
2021-02-08 17:20:20,006 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,010 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 137,106 bytes; max-size-bytes on address: -1, global-max-size is 138,765
2021-02-08 17:20:20,079 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,082 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 36,685 bytes; max-size-bytes on address: -1, global-max-size is 36,685
2021-02-08 17:20:20,159 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,166 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 689,040 bytes; max-size-bytes on address: -1, global-max-size is 689,040
2021-02-08 17:20:20,229 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,235 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 435,435 bytes; max-size-bytes on address: -1, global-max-size is 435,435
2021-02-08 17:20:20,284 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,288 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 173,855 bytes; max-size-bytes on address: -1, global-max-size is 173,855
2021-02-08 17:20:20,347 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,350 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 46,255 bytes; max-size-bytes on address: -1, global-max-size is 46,255
2021-02-08 17:20:20,406 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,410 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 218,515 bytes; max-size-bytes on address: -1, global-max-size is 218,515
2021-02-08 17:20:20,464 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,467 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 47,850 bytes; max-size-bytes on address: -1, global-max-size is 47,850
2021-02-08 17:20:20,526 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,530 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 151,525 bytes; max-size-bytes on address: -1, global-max-size is 151,525
2021-02-08 17:20:20,583 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,587 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 210,540 bytes; max-size-bytes on address: -1, global-max-size is 210,540
2021-02-08 17:20:20,647 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,651 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 156,310 bytes; max-size-bytes on address: -1, global-max-size is 156,310
2021-02-08 17:20:20,651 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 181,830 bytes; max-size-bytes on address: -1, global-max-size is 181,830
2021-02-08 17:20:20,714 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,717 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 49,445 bytes; max-size-bytes on address: -1, global-max-size is 49,445
2021-02-08 17:20:20,780 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,783 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 20,735 bytes; max-size-bytes on address: -1, global-max-size is 20,735
2021-02-08 17:20:20,847 INFO  [org.apache.activemq.artemis.core.server] AMQ221046: Unblocking message production on address 'TEST.FOO'; size is currently: 9,570 bytes; max-size-bytes: -1
2021-02-08 17:20:20,850 WARN  [org.apache.activemq.artemis.core.server] AMQ222183: Blocking message production on address 'TEST.FOO'; size is currently: 51,040 bytes; max-size-bytes on address: -1, global-max-size is 51,040
